SF,Count
C7H2O2S,5
C6HNO2S,3
C7H2OS2,2
C6HNOS2,1
C5H3ClN2O2,6
C4H2ClN3O2,5
C4HN3O2S,18
C3HN3O3S,6
C3N4O2S,6
C4H2Cl2N2O2,1
C3HClN4O2,1
C6H4O2S2,5
C6H2O3S,1
C5HNO3S,1
C11H14,37948
C11H12,18477
C11H16,45821
C11H18,30959
C11H20,11005
C11H22,2145
C11H24,159
C11H10,5398
C11H8,1057
C11H6,177
C11H4,25
C11H2,2
C9H8N2,14342
C8H9N3,62573
C9H12N2,147160
C9H10N2,57652
C10H11N,39034
C10H13N,106998
C10H9N,9763
C8H11N3,149097
C9H14N2,246073
C10H15N,175743
C7H8N4,50089
C7H10N4,108735
C8H7N3,16257
C7H6N4,12768
C8H13N3,230634
C7H12N4,150556
C10H17N,155431
C9H16N2,245240
C9H6N2,2172
C7H4N4,2008
C9H4N2,204
C8H5N3,2498
C9H2N2,12
C8H15N3,208988
C7H14N4,119736
C9H18N2,120936
C10H7N,1646
C10H19N,66581
C10H5N,223
C8H17N3,98237
C10H3N,20
C8H3N3,120
C10H21N,14913
C9H20N2,30644
C7H16N4,48581
C8H19N3,24447
C7H2N4,38
C7H18N4,9420
C6H7N5,588
C6H5N5,571
C6H3N5,218
C10H23N,1238
C9H22N2,2837
C8HN3,5
C8H21N3,2230
C7H20N4,547
C6H9N5,200
C10HN,1
C6HN5,8
C9H8O2,35342
C10H10O,45153
C9H10O2,137112
C10H12O,125358
C8H8O3,60684
C10H14O,190617
C9H12O2,269509
C10H8O,8911
C8H10O3,153809
C9H6O2,4284
C8H6O3,10788
C10H6O,1086
C10H4O,99
C9H14O2,262227
C10H16O,153733
C8H12O3,177592
C9H16O2,121022
C8H14O3,94888
C10H18O,61630
C8H4O3,788
C10H2O,7
C10H20O,12855
C9H18O2,27538
C8H16O3,23808
C9H4O2,300
C9H2O2,13
C10H22O,989
C9H20O2,2324
C8H18O3,2239
C8H2O3,10
C8H8N2O,93326
C8H7NO2,53873
C9H11NO,218880
C9H9NO,73070
C8H9NO2,184592
C8H10N2O,266532
C7H8N2O2,181743
C9H13NO,412025
C8H11NO2,363753
C7H6N2O2,53166
C7H7N3O,85106
C7H7NO3,59303
C7H9N3O,220614
C6H7N3O2,126697
C6H5N3O2,40472
C7H10N2O2,339875
C8H12N2O,454448
C7H11N3O,345539
C7H9NO3,144064
C9H7NO,15530
C6H9N3O2,208949
C6H6N2O3,49654
C8H13NO2,397333
C6H8N2O3,109971
C8H6N2O,18854
C7H5N3O,17078
C8H5NO2,7917
C7H4N2O2,7310
C6H3N3O2,4994
C7H5NO3,11273
C6H4N2O3,10227
C9HNO,4
C9H5NO,1842
C9H3NO,108
C9H15NO,431353
C8H14N2O,442616
C7H13N3O,308749
C7H12N2O2,329721
C8H15NO2,218260
C6H11N3O2,175093
C7H11NO3,161567
C6H10N2O3,110697
C9H17NO,214188
C8H4N2O,2090
C7H3NO3,831
C7H3N3O,1530
C6H2N2O3,542
C8H16N2O,226798
C8H2N2O,96
C9H19NO,53372
C7H15N3O,138623
C7H14N2O2,158979
C8H18N2O,60690
C8H17NO2,59625
C7H13NO3,87737
C6H13N3O2,75143
C6H12N2O3,52520
C7H16N2O2,37511
C7H15NO3,23110
C8H3NO2,546
C7H2N2O2,398
C6H8N4O,18823
C6H6N4O,15873
C6H4N4O,5291
C6H10N4O,9680
C7H17N3O,29796
C5H6N4O2,406
C6H5NO4,94
C6H7NO4,66
C5H8N4O2,278
C5H7N3O3,452
C5H6N2O4,226
C5H5N3O3,539
C5H4N2O4,269
C4H7N5O2,199
C4H6N4O3,411
C4H5N3O4,272
C6H2N4O,606
C5H4N4O2,197
C4H5N5O2,290
C4H4N4O3,475
C4H3N3O4,317
C5H3N3O3,226
C6H15N3O2,13513
C6H14N2O3,10258
C7HN3O,40
C6HN3O2,167
C9H21NO,4798
C8H20N2O,5887
C8H19NO2,5988
C6H12N4O,1688
C7H19N3O,1930
C7H18N2O2,3012
C7H17NO3,2306
C6H17N3O2,234
C6H16N2O3,254
C4H3N5O2,112
C8N2O,2
C4H2N4O3,166
C6N4O,8
C8HNO2,4
C6H3NO4,20
C5H2N2O4,38
C7HNO3,5
C4HN3O4,19
C5H2N4O2,26
C3H2N4O4,5
C4HN5O2,13
C10H10S,1279
C9H9NS,4695
C8H8N2S,8833
C9H8OS,2676
C8H7NOS,8171
C7H7N3S,10731
C7H6N2OS,11837
C6H5N3OS,11500
C7H9N3S,19835
C7H8N2OS,25134
C6H7N3OS,25479
C10H12S,1531
C9H11NS,6793
C8H10N2S,15674
C9H10OS,4606
C8H9NOS,14904
C8H8O2S,5065
C7H7NO2S,12923
C6H6N2O2S,16571
C10H8S,473
C9H7NS,1694
C8H6N2S,2814
C7H5N3S,3000
C9H6OS,614
C8H5NOS,2023
C7H4N2OS,2630
C9H6S2,41
C8H5NS2,152
C7H4N2S2,249
C6H3N3OS,2007
C6H3N3S2,255
C8H6O2S,1779
C7H5NO2S,4326
C6H4N2O2S,4908
C9HNS,3
C9H8S2,59
C8H7NS2,225
C7H6N2S2,470
C6H5N3S2,658
C9H13NS,4633
C8H12N2S,15142
C7H11N3S,22099
C7H10N2OS,27978
C6H9N3OS,30926
C7H8N2S2,440
C7H10N2S2,107
C6H7N3S2,717
C6H9N3S2,451
C9H12OS,3152
C8H11NOS,11909
C7H9NO2S,16517
C6H8N2O2S,25829
C7H9NOS2,225
C6H8N2OS2,468
C8H4O2S,212
C8H4OS2,39
C8H4N2S,465
C7H3NO2S,427
C7H3NOS2,98
C7H3N3S,385
C6H2N2O2S,345
C6H2N2OS2,113
C10H6S,90
C9H5NS,307
C8H10O2S,6187
C10H4S,15
C9H3NS,49
C8H6OS2,135
C7H5NOS2,350
C6H4N2OS2,541
C6H6N2OS2,865
C8H2N2S,65
C10H2S,2
C10H14S,849
C7H7NOS2,504
C9H4OS,52
C8H3NOS,172
C7H2N2OS,189
C8H12O2S,4872
C7H11NO2S,14337
C7H10O3S,12369
C6H8O4S,11179
C7H8O3S,5917
C6H10N2O2S,24312
C6H9NO3S,20594
C6H7NO3S,8916
C6H6O4S,3795
C9H10ClN,1312
C8H9ClN2,2566
C8H8ClNO,3215
C7H8ClN3,2471
C7H7ClN2O,4163
C8H14N2S,6940
C8H14O2S,2401
C7H13NO2S,8255
C7H12O3S,9812
C7H13N3S,13407
C7H12N2OS,15138
C6H12N2O2S,15034
C6H11NO3S,20333
C6H10O4S,11856
C6H11N3OS,18176
C5H9N3O2S,9684
C5H11N3O2S,8791
C5H8N2O3S,18413
C5H10N2O3S,18595
C5H7NO4S,10862
C5H9NO4S,13649
C7H7ClN2S,699
C6H8N4S,1622
C4H9N3O3S,9345
C9H9ClO,678
C9H9ClS,263
C8H8OS2,170
C8H8ClNS,605
C5H7N3O2S,5267
C5H6N2O3S,8248
C5H5N3O2S,1840
C6H6N4S,1940
C8H7ClO2,976
C8H7ClOS,588
C5H5NO4S,3283
C4H7N3O3S,9116
C4H5N3O3S,3712
C7H6O3S,1320
C6H5NO3S,2173
C8H7Cl2N,198
C8H6Cl2O,150
C8H6Cl2S,26
C9H12ClN,847
C6H6ClNO2S,33
C6H5ClN2O2,2248
C6H5ClN2OS,703
C8H11ClN2,2213
C5H4N2O3S,1839
C6H4O4S,414
C7H6O2S2,48
C7H8O2S2,60
C6H5NO2S2,173
C6H7NO2S2,227
C6H4O3S2,46
C6H6O3S2,113
C4H3N3O3S,793
C5H3NO4S,376
C5H3N3O2S,289
C10H11Cl,150
C9H11ClO,422
C9H11ClS,240
C8H10ClNO,2912
C8H10ClNS,703
C8H9ClO2,902
C8H9ClOS,687
C7H10ClN3,2294
C7H9ClN2O,4251
C8H9Cl2N,172
C7H8ClNO2,2938
C7H9ClN2S,719
C7H8ClNOS,1057
C8H8Cl2O,111
C8H8Cl2S,23
C8H10OS2,61
C8H16N2S,1298
C8H16O2S,734
C7H15NO2S,2784
C7H14O3S,3462
C7H15N3S,4002
C7H14N2OS,3566
C6H14N2O2S,5408
C6H13NO3S,8529
C6H12O4S,5006
C6H13N3OS,5829
C6H10N4S,595
C5H13N3O2S,4083
C5H12N2O3S,9099
C5H11NO4S,6969
C6H11N3S2,152
C4H11N3O3S,4405
C7H6ClNO2,2329
C9H6Cl2,46
C9H8Cl2,63
C9H7ClO,406
C10H9Cl,123
C9H8ClN,823
C8H7ClN2,1352
C9H10S2,34
C8H6ClNO,1364
C7H6ClN3,1393
C8H9NS2,165
C7H8Cl2N2,193
C7H5Cl2NO,245
C7H7Cl2NO,304
C8H7ClS2,15
C7H5ClN2O,1821
C6H6ClN3O,3202
C6H8ClN3O,3567
C6H8ClN3S,528
C7H6ClNOS,757
C6H7ClN2O2,3259
C6H7ClN2OS,905
C7H6ClNS2,44
C6H6ClN3S,566
C8H5ClO2,376
C9H7ClS,177
C8H5ClOS,220
C8H6ClNS,334
C7H5ClN2S,395
C6H4N4S,982
C10H16S,178
C10H13Cl,57
C9H15NS,1198
C9H14OS,760
C8H13NOS,3565
C8H5Cl2N,91
C9H10Cl2,34
C8H7Cl3,12
C7H4O3S,109
C7H10O2S2,34
C6H9NO2S2,152
C6H8O3S2,93
C7H6Cl2N2,180
C7H5Cl2NS,24
C7H4ClNO2,666
C6H4ClN3O,1305
C8H13ClN2,617
C8H12ClNO,808
C8H12ClNS,313
C8H11ClO2,246
C8H11ClOS,246
C7H11ClN2O,1549
C7H10ClNO2,1054
C7H6Cl3N,23
C6H7Cl2N3,106
C6H6Cl2N2O,228
C6H5Cl2N3,87
C6H4Cl2N2O,131
C9H14ClN,144
C7H12ClN3,734
C5H6ClN3O2,38
C5H5ClN2O3,53
C6H8ClNO2S,16
C5H7ClN2O2S,38
C5H6ClNO3S,56
C7H11ClN2S,372
C7H10ClNOS,566
C6H7ClN2S2,15
C9H6ClN,188
C8H5ClN2,302
C5H4ClN3O2,37
C9H13ClO,69
C9H5ClO,77
C8H4ClNO,237
C9H13ClS,69
C9H5ClS,41
C8H4ClNS,100
C6H3NO3S,232
C6H10ClN3O,994
C6H9ClN2O2,958
C6H4Cl2N2S,18
C7H10Cl2N2,49
C6H8Cl2N2O,60
C7H9Cl2NO,64
C6H6Cl2N2S,14
C7H4Cl2N2,84
C6H4ClN3S,278
C6H5ClN4,178
C6H7ClN4,88
C4H5ClN4O2,19
C4H4ClN3O3,36
C4H6ClN3O2S,36
C5H5ClN2O2S,53
C6H7ClO3S,9
C6H9ClN2OS,371
C6H7ClO2S2,9
C4H8N4O2S,303
C7H7Cl2NS,31
C6H2N4S,123
C4H6N4O2S,516
C5H2N2O3S,177
C7H4ClN3,248
C4H4N4O2S,302
C6H10N2OS2,173
C6H5ClN2S2,51
C7H4ClNOS,264
C5H4Cl2N2O2,2
C6H10ClN3S,185
C6H3ClN2O2,532
C6H3Cl2N3,45
C4H3ClN4O2,15
C7H3ClN2O,256
C7H3ClN2S,91
C6H6ClNO3,9
C7H9Cl2NS,21
C8H12OS2,14
C7H11NOS2,82
C8H11Cl2N,18
C6H9Cl2N3,25
C7HN3S,38
C7H12N2S2,24
C6HN3OS,80
C8H10Cl2O,7
C8H10Cl2S,7
C8H18N2S,153
C8H18O2S,82
C7H17NO2S,325
C7H16O3S,425
C7H17N3S,594
C7H16N2OS,502
C6H16N2O2S,679
C6H15NO3S,1191
C6H14O4S,718
C6H15N3OS,1025
C6H12N4S,125
C5H15N3O2S,663
C5H14N2O3S,1537
C5H13NO4S,1169
C6H13N3S2,27
C4H10N4O2S,36
C4H13N3O3S,562
C6H8Cl2N2S,10
C7H3Cl2NO,40
C8H3Cl3,10
C8H5Cl3,12
C8H3Cl2N,3
C8H2Cl2O,3
C8H4Cl2O,55
C8H2Cl2S,3
C8H4Cl2S,17
C7H2Cl2N2,3
C6H3ClN2OS,215
C6H3ClN4,70
C7H4Cl3N,15
C6H2ClN3O,125
C6H2ClN3S,54
C10H7Cl,35
C6H4ClNO2S,23
C5H3ClN2O2S,23
C5H4ClNO3S,30
C7H3Cl2NS,8
C6H2Cl2N2O,18
C6H2Cl2N2S,4
C6H3ClO3S,8
C7H5ClO2S,2
C10H5Cl,9
C9H4ClN,29
C8H3ClN2,37
C7H2ClN3,25
C8H5ClS2,12
C7H4ClNS2,28
C6H3ClN2S2,29
C5H2ClNO3S,11
C6HClN4,7
C5H3Cl2NO2S,1
C6H3Cl3N2,1
C4H4ClN3O2S,21
C7H2ClNO2,11
C7H2ClNOS,19
C4H2ClN3O2S,5
C6H5ClO3S,8
C8H3ClO2,17
C8H3ClOS,23
C6HClN2O2,2
C6HClN2OS,4
C6H3ClO2S2,4
C6H5ClO2S2,5
C8H3ClS2,6
C7H2ClNS2,8
C6HClN2S2,2
C6H5Cl3N2,8
C7H7ClO2S,1
C5H5Cl2NO2S,1
C8N2S,2
C4H2N4O2S,115
C4H3Cl2N3O2,2
C6N4S,8
C4HN3O3S,40
C6H4ClNO3,16
C6H2O4S,15
C5H3ClN2O3,29
C4H2ClN3O3,21
C5HNO4S,4
C7H2O3S,7
C6HNO3S,9
C6H3NO2S2,12
C6H3Cl2NO2,6
C5H2Cl2N2O2,3
C5H2ClN3O2,7
C6H2ClNO3,6
C6H2ClNO2S,6
C4HCl2N3O2,1
C4HClN4O2,1
C5HClN2O3,2
C5HClN2O2S,2
C7H4O2S2,2
C8H2O2S,4
C8O2S,1
C5HN3O2S,14
C6H2O3S2,2
C7HNO2S,3
C6N2O2S,2
C12H12,54254
C12H14,142085
C12H16,225741
C12H18,214177
C12H20,115310
C12H22,33906
C12H24,5513
C12H26,355
C12H10,13539
C12H8,2485
C12H6,376
C12H4,47
C12H2,5
C12,1
C11H11N,115574
C10H10N2,173414
C11H9N,24186
C9H9N3,195298
C10H8N2,35657
C9H7N3,42186
C8H8N4,163733
C8H10N4,486088
C10H12N2,559590
C9H11N3,601310
C11H13N,385857
C10H14N2,1199990
C11H15N,823182
C9H13N3,1208841
C10H16N2,1664059
C8H12N4,881314
C9H15N3,1572163
C11H7N,3776
C8H6N4,36112
C10H6N2,4966
C10H4N2,463
C11H17N,1026968
C8H14N4,1040604
C10H18N2,1292440
C8H4N4,3869
C9H5N3,5119
C11H5N,426
C9HN3,13
C9H17N3,1185744
C11H19N,687395
C8H16N4,704841
C10H20N2,506023
C9H19N3,469311
C11H21N,235437
C11H3N,43
C9H3N3,396
C10H2N2,31
C8H2N4,245
C11H23N,42929
C10H22N2,103157
C8H18N4,246541
C9H21N3,98221
C8H20N4,43581
C7H9N5,62003
C7H7N5,39424
C7H11N5,43971
C7H5N5,12895
C7H3N5,1463
C7H13N5,14127
C7HN5,70
C11H25N,3057
C11HN,3
C10H24N2,8151
C9H23N3,7941
C7H15N5,1546
C8H22N4,2742
C6H6N6,38
C6H4N6,49
C8N4,3
C6H2N6,29
C6N6,3
C10N2,1
C11H10O,124353
C11H8O,20946
C10H8O2,90928
C9H6O3,26229
C9H8O3,204066
C8H6O4,39326
C11H12O,444491
C10H10O2,468726
C10H12O2,1252603
C9H10O3,730811
C11H14O,903060
C11H6O,2414
C8H8O4,188545
C11H16O,1039623
C10H14O2,1781778
C9H12O3,1289581
C8H10O4,395568
C10H6O2,9625
C11H4O,235
C10H16O2,1302949
C9H14O3,1100962
C8H12O4,380314
C11H18O,648714
C10H18O2,477271
C9H16O3,457972
C11H20O,211133
C8H14O4,176462
C10H4O2,622
C11H22O,36395
C10H20O2,88984
C9H18O3,93527
C8H16O4,39308
C8H4O4,3157
C9H4O3,1396
C11H2O,19
C10H2O2,40
C11H24O,2426
C10H22O2,6455
C9H20O3,7463
C8H18O4,3450
C8H2O4,64
C10O2,3
C11O,1
C9H2O3,37
C9O3,3
C9H8N2O,276557
C10H7NO,36743
C8H6N2O2,162421
C9H7NO2,151281
C7H5N3O2,120722
C10H9NO,214423
C8H9N3O,941987
C9H9NO2,693604
C8H8N2O2,738037
C8H7N3O,266306
C7H6N4O,185410
C7H8N4O,642209
C7H7N3O2,557428
C8H5NO3,43262
C8H7NO3,276847
C7H6N2O3,186523
C7H4N2O3,24993
C9H6N2O,45883
C6H3N3O3,15611
C6H5N3O3,126604
C10H11NO,805913
C9H10N2O,1039206
C10H13NO,1969885
C9H11NO2,1846513
C9H12N2O,2357211
C8H10N2O2,1876546
C8H9NO3,869133
C8H11N3O,1967289
C10H15NO,2897713
C9H13NO2,2920516
C9H14N2O,3302855
C7H9N3O2,1293208
C7H8N2O3,620728
C7H10N4O,1219644
C8H5N3O,43344
C7H4N4O,28565
C6H7N3O3,374546
C8H13N3O,2584161
C8H12N2O2,2743438
C8H11NO3,1429326
C7H11N3O2,1705243
C7H10N2O3,1035800
C6H9N3O3,542367
C7H12N4O,1419256
C10H5NO,3818
C9H4N2O,4294
C9H5NO2,17626
C8H3N3O,3360
C8H4N2O2,18709
C9H15NO2,2529133
C10H17NO,2281360
C9H16N2O,2669694
C8H15N3O,1912963
C8H14N2O2,2154955
C9H17NO2,1104847
C7H13N3O2,1224285
C8H13NO3,1221093
C7H12N2O3,847063
C6H11N3O3,373598
C7H14N4O,905204
C10H19NO,889844
C9H18N2O,1129954
C7H3N3O2,11533
C8H15NO3,545033
C8H16N2O2,885137
C10H3NO,238
C9H2N2O,156
C9H3NO2,799
C10H21NO,178202
C8H17N3O,730394
C9H19NO2,243688
C9H20N2O,248529
C7H16N4O,299087
C7H15N3O2,448770
C7H14N2O3,334326
C8H18N2O2,187043
C8H19N3O,141242
C8H17NO3,123877
C6H13N3O3,124698
C7H2N4O,1550
C8H2N2O2,679
C7HN3O2,155
C7H2N2O3,896
C8H3NO3,2562
C6H8N4O2,62151
C6H6N4O2,61875
C6H4N4O2,23358
C7H7NO4,439
C6H6N2O4,1508
C5H5N3O4,2112
C6H10N4O2,25694
C5H7N5O2,1610
C7H5NO4,279
C5H5N5O2,1096
C5H4N4O3,1905
C5H6N4O3,3166
C6H4N2O4,665
C7H9NO4,180
C6H8N2O4,750
C5H8N4O3,1384
C5H7N3O4,956
C5H9N5O2,639
C6H7N5O,2719
C6H5N5O,3284
C7H18N4O,43156
C7H17N3O2,72559
C7H16N2O3,58805
C6H2N4O2,3172
C4H4N4O4,21
C6H3N5O,1493
C5H3N5O2,417
C5H3N3O4,746
C10H23NO,13667
C9H22N2O,20871
C9H21NO2,20718
C8H21N3O,9732
C8H20N2O2,14958
C8H19NO3,11173
C6H12N4O2,2861
C6H15N3O3,15381
C6HN5O,171
C6H9N5O,634
C7H20N4O,1137
C7H19N3O2,2300
C7H18N2O3,2546
C8HN3O,55
C6HN3O3,234
C6N4O2,12
C6H17N3O3,41
C8N2O2,5
C10HNO,13
C9N2O,4
C9HNO2,14
C8HNO3,31
C5H2N4O3,310
C7N4O,4
C7N2O3,3
C7H3NO4,56
C6H2N2O4,104
C5HN3O4,52
C4H2N4O4,11
C5HN5O2,10
C5N4O3,6
C8H7N3S,32757
C9H7NOS,24459
C8H6N2OS,35951
C7H6N4S,29015
C7H5N3OS,34133
C9H6O2S,4538
C8H5NO2S,12894
C7H4N2O2S,11986
